판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
116601,도시계획법위반,98도364,1998.04.14,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116601&type=HTML&mobileYn=
116564,물품대금,98다6565,1998.04.14,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116564&type=HTML&mobileYn=
196350,수표금등,96다8826,1998.04.14,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196350&type=HTML&mobileYn=
116597,무고,98도150,1998.04.14,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116597&type=HTML&mobileYn=
116598,사기,98도231,1998.04.14,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116598&type=HTML&mobileYn=
196357,상표등록무효,97후1863,1998.04.14,대법원,특허,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196357&type=HTML&mobileYn=
116596,부동산소유권이전등기등에관한특별조치법위반·공정증서원본불실기재·불실기재공정증서원본행사,98도16,1998.04.14,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116596&type=HTML&mobileYn=
196356,사해행위취소등,97다54420,1998.04.14,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196356&type=HTML&mobileYn=
196354,토지소유권이전등기,97다44089,1998.04.14,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196354&type=HTML&mobileYn=
196351,소유권보존등기말소,96다39011,1998.04.14,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196351&type=HTML&mobileYn=
116595,위증·위증교사·사기,97도3340,1998.04.14,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116595&type=HTML&mobileYn=
116600,강도상해,98도356,1998.04.14,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116600&type=HTML&mobileYn=
238801,항소장각하명령,98마474,1998.04.13,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=238801&type=HTML&mobileYn=
196361,과태료처분신청각하,98마413,1998.04.13,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196361&type=HTML&mobileYn=
196386,양도소득세부과처분취소,98두1161,1998.04.10,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196386&type=HTML&mobileYn=
196380,농지조성비등부과처분취소,97누256,1998.04.10,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196380&type=HTML&mobileYn=
196385,양도소득세등부과처분취소,98두908,1998.04.10,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196385&type=HTML&mobileYn=
116589,뇌물수수,97도3234,1998.04.10,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116589&type=HTML&mobileYn=
196365,소유권이전등기등,97다20571,1998.04.10,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196365&type=HTML&mobileYn=
196374,소유권이전등기,97다56495,1998.04.10,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196374&type=HTML&mobileYn=
196373,양수금,97다55720,1998.04.10,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196373&type=HTML&mobileYn=
196382,유족보상일시금및장의비부지급처분취소,98두557,1998.04.10,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196382&type=HTML&mobileYn=
116594,존속상해,98도549,1998.04.10,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116594&type=HTML&mobileYn=
196368,주주총회결의취소,97다50619,1998.04.10,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=196368&type=HTML&mobileYn=
116588,횡령,97도3057,1998.04.10,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116588&type=HTML&mobileYn=
116572,택지초과소유부담금부과처분취소,97누11270,1998.04.10,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=116572&type=HTML&mobileYn=
