판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
241201,아동·청소년의성보호에관한법률위반(음란물제작·배포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2021도1181,2024.07.25,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241201&type=HTML&mobileYn=
241231,청구이의,2021다239905,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241231&type=HTML&mobileYn=
241245,주권인도등청구의소,2020다273403,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241245&type=HTML&mobileYn=
241237,상수도원인자부담금부과처분취소,2022두48837,2024.07.25,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241237&type=HTML&mobileYn=
241213,소유권이전등기,2022다204333,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241213&type=HTML&mobileYn=
241203,양도소득세부과처분취소,2022두63386,2024.07.25,대법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241203&type=HTML&mobileYn=
241229,임금,2021다246545,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241229&type=HTML&mobileYn=
241225,손해배상(기)·손해배상(기)·손해배상(기),2021다269418,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241225&type=HTML&mobileYn=
241249,공무집행방해,2023도16951,2024.07.25,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241249&type=HTML&mobileYn=
241243,거절결정(특),2021후11070,2024.07.25,대법원,특허,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241243&type=HTML&mobileYn=
241219,근로자지위확인,2020다287921,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241219&type=HTML&mobileYn=
241207,농지보전부담금부과처분취소,2024두38575,2024.07.25,대법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241207&type=HTML&mobileYn=
241221,부당해고구제재심판정취소,2024두32973,2024.07.25,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241221&type=HTML&mobileYn=
241233,근로에관한소송·근로에관한소송·근로에관한소송,2024다211908,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241233&type=HTML&mobileYn=
241209,법인세등부과처분취소,2022두51031,2024.07.25,대법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241209&type=HTML&mobileYn=
241223,소유권이전등기,2024다230251,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241223&type=HTML&mobileYn=
241239,조례안의결무효확인,2023추5177,2024.07.25,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241239&type=HTML&mobileYn=
241235,보증금,2024다229343,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241235&type=HTML&mobileYn=
241215,소유권이전등기,2023다316790,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241215&type=HTML&mobileYn=
241205,법인세경정거부처분취소,2022두60745,2024.07.25,대법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241205&type=HTML&mobileYn=
241211,업무정지등처분취소,2024두33846,2024.07.25,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241211&type=HTML&mobileYn=
241247,구상금,2019다256501,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241247&type=HTML&mobileYn=
241227,구상금,2022다233874,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241227&type=HTML&mobileYn=
241251,특정경제범죄가중처벌등에관한법률위반(사기),2020도7802,2024.07.25,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241251&type=HTML&mobileYn=
241217,임금·약정금,2023다223744,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241217&type=HTML&mobileYn=
241241,임대료,2024다236211,2024.07.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=241241&type=HTML&mobileYn=
