구분,용어,개념
1,가압류,"금전채권이나 금전으로 환산할 수 있는 매매대금, 어음금, 수표금, 양수금, 공사대금, 임금, 손해배상청구권 등 채권의 집행을 보전할 목적으로 미리 채무자의 재산을 동결시켜 채무자로부터 그 재산에 대한 처분권을 잠정적으로 빼앗는 집행보전제도"
2,가압류피신청인,재산을 동결시켜 채무자로부터 그 재산에 대한 처분권을 잠정적으로 빼앗는 집행보전제도의 채무자
3,감호청구인,아동이나 미성년자에 대한 보호를 요청하는 사람
4,검사,검찰권을 행사할 권한을 갖는 국가기관
5,검찰관,"검사의 직책 중 하나로, 주로 형사 사건에서 범죄 수사 및 기소를 담당하는 법적 대표"
6,검찰총장,검찰의 수장
7,경매신청인,광의로는 매수하겠다는 사람이 수인 있는 때 값을 제일 많이 부르는 사람에게 매도하는 경매에서 매수신청자
8,고인,사망한 사람
9,고지명령,범죄자의 신상 정보를 피해자나 일정한 범위 내의 사람들에게 직접 고지하는 명령
10,공개명령,범죄자의 신상 정보를 인터넷 등 일정한 장소에 공개하여 누구든지 열람할 수 있도록 하는 명령
11,공동관리인,여러 사람 또는 여러 기관이 함께 어떤 사안이나 자산을 관리하는 역할을 수행하는 사람
12,공동소송적 보조참가인,특정 소송에 주된 당사자와 함께 소송에 참여하여 주된 당사자의 입장을 지지하거나 보조하는 역할을 하는 사람
13,공동소송참가인,이미 진행 중인 소송에 새롭게 참여하여 자신도 당사자로서 소송을 진행하는 사람
14,공소유지변호사,형사 사건에서 검사의 공소를 유지하기 위해 고용된 변호사
15,공소인,형사 사건에서 공소를 제기한 주체로 일반적으로 검사지만 특정 경우에는 피해자나 고소인도 포함
16,공유자,일정한 물건을 공동으로 소유하고 있는 사람
17,공판검사,공판단계(재판단계)에서의 검사 (=공판관여검사)
18,공판관여검사,공판단계(재판단계)에서의 검사 (=공판검사)
19,관계인,"당사자, 법정대리인, 특별대리인, 법인 등 단체의 대표자, 참가인, 소송수행자, 소송대리인, 지배인, 선정자, 증인, 감정인 등 명칭이나 소송상 지위 여하를 불문하고 판결서 중에 법 제163조제1항 각 호에서 정한 비밀이 적혀 있어 보호할 필요가 있는 자연인 또는 법인"
20,관리인,소유자로부터 위탁을 받아 시설을 관리하는 사람
21,구속취소,구속의 사유가 없거나 소멸된 때에 법원이 구속을 취소하는 것
22,구속취소청구인변호인,법원에 구속 취소를 요청하는 사람의 변호인
23,구속취소청구자,구속의 사유가 없거나 소멸된 때에 법원에 구속 취소를 청구한 사람
24,군검사,"군 내부에서 각 군 검찰단에 소속되어 군검찰사무를 담당하는 국가기관 (이전, 군검찰관(검사))"
